,Loss,Accuracy,F1,Precision,Recall
0,0.1239420622587204,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
1,0.12326385080814362,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
2,0.12254203110933304,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
3,0.12212735414505005,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
4,0.12151756137609482,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
5,0.12087881565093994,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
6,0.12036431580781937,0.08989573824052274,0.16496208781520014,0.08989573824052274,1.0
7,0.11967934668064117,0.7239705953010138,0.31402985074626866,0.20218327183271834,0.7028327097808659
8,0.1190340667963028,0.7229616105318791,0.30863309352517987,0.19894883289534704,0.6878674505611972
9,0.11861677467823029,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
10,0.1183352991938591,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
11,0.11743827909231186,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
12,0.11724908649921417,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
13,0.11618424952030182,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
14,0.11581126600503922,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
15,0.11524630337953568,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
16,0.1142713725566864,0.7822995243357517,0.3573961140263792,0.24324324324324326,0.6734366648850882
17,0.11391966789960861,0.78234757122952,0.3574468085106383,0.2432902104653408,0.6734366648850882
18,0.11362545192241669,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
19,0.1127045676112175,0.7827319463796666,0.35767045454545454,0.24356742116463534,0.6729021913415286
20,0.11208568513393402,0.7830202277422764,0.3581580443433769,0.24394966118102615,0.6734366648850882
21,0.11151183396577835,0.79262960649594,0.3583110318168302,0.2481977342945417,0.6440406199893105
22,0.11111915111541748,0.784461634555326,0.35767468499427263,0.24427928808918442,0.6675574559059326
23,0.1105099767446518,0.7860471820496805,0.35955702574428305,0.24596615505706415,0.6680919294494923
24,0.10987941175699234,0.80805265939557,0.3687786380154843,0.2617765814266487,0.623730625334046
25,0.10943110287189484,0.7933022630086964,0.35714285714285715,0.2478738850860817,0.6386958845537146
26,0.10875324159860611,0.7975784365540768,0.3625359358450598,0.25284930350358803,0.6402993051843934
27,0.10847902297973633,0.7952241387594292,0.36063606360636064,0.25067778936392077,0.6424371993586317
28,0.10760081559419632,0.814250708691683,0.36685227644939405,0.2644628099173554,0.598610368786745
29,0.10770005732774734,0.8171815692115505,0.3703458547079265,0.26821668264621285,0.5980758952431855
30,0.10661230236291885,0.8179022726180752,0.37022266533732134,0.2686279238003376,0.5954035275253875
31,0.10655736923217773,0.8171335223177821,0.3696588274263001,0.2678185745140389,0.5964724746125066
32,0.10625145584344864,0.8173257098928555,0.369485903814262,0.2678528492426064,0.5954035275253875
33,0.10590579360723495,0.8175178974679287,0.3701492537313433,0.26833373407069006,0.5964724746125066
34,0.10532829165458679,0.816653053380099,0.36904761904761907,0.26717740004788126,0.5964724746125066
35,0.10567761957645416,0.8174218036803921,0.36960849369608495,0.2679817175847967,0.5954035275253875
36,0.10517584532499313,0.8174698505741603,0.36966981914717106,0.268046198267565,0.5954035275253875
37,0.10522213578224182,0.8178061788305386,0.3698903290129611,0.2683867856281649,0.5948690539818279
38,0.10495239496231079,0.8174698505741603,0.36883203189898656,0.26759884281581486,0.5932656333511491
39,0.1049291267991066,0.8178061788305386,0.3703088674858851,0.26860997350036137,0.5959380010689471
40,0.10530614852905273,0.8174218036803921,0.36960849369608495,0.2679817175847967,0.5954035275253875
41,0.10501623153686523,0.8169413347427089,0.36920529801324503,0.2674502278723915,0.5959380010689471
42,0.10461375117301941,0.8175178974679287,0.3697311649518752,0.2681107099879663,0.5954035275253875
43,0.10463569313287735,0.8171335223177821,0.36924096784885646,0.26759548402594285,0.5954035275253875
44,0.10506883263587952,0.8170374285302455,0.3695364238410596,0.26769009354761336,0.5964724746125066
45,0.10510483384132385,0.8173257098928555,0.369485903814262,0.2678528492426064,0.5954035275253875
46,0.10534515976905823,0.8172296161053187,0.3691542288557214,0.2676124068285646,0.5948690539818279
47,0.10485103726387024,0.8170374285302455,0.3695364238410596,0.26769009354761336,0.5964724746125066
48,0.10441447794437408,0.8171815692115505,0.36930217139068455,0.2676597789524267,0.5954035275253875
49,0.10491522401571274,0.8149714120982079,0.36734023328404797,0.265180265654649,0.5975414216996259
50,0.10504763573408127,0.814250708691683,0.36602164644145624,0.2640170333569908,0.5964724746125066
51,0.1041947454214096,0.7898909335511459,0.35926739926739926,0.24747678643520388,0.655264564404062
52,0.10424329340457916,0.7848940565992408,0.357952100960849,0.24460995687965503,0.6670229823623731
53,0.10419872403144836,0.7825878056983616,0.3573356057378213,0.24332688588007736,0.672367717797969
54,0.10410875082015991,0.7849901503867774,0.35952483183054246,0.24550430023455824,0.6712987707108499
55,0.10368092358112335,0.782491711910825,0.35723413318188274,0.24323279195668987,0.672367717797969
56,0.10429254919290543,0.7823956181232883,0.35749751737835156,0.24333719582850522,0.6734366648850882
57,0.10409949719905853,0.7825878056983616,0.3575181030810734,0.2434261407579273,0.6729021913415286
58,0.10384362190961838,0.782491711910825,0.357416607523066,0.24333204483958254,0.6729021913415286
59,0.10339927673339844,0.7822995243357517,0.3573961140263792,0.24324324324324326,0.6734366648850882
60,0.10343950986862183,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
61,0.10419365763664246,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
62,0.1036723181605339,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
63,0.1035403162240982,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
64,0.10348691791296005,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
65,0.1035449281334877,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
66,0.10380899906158447,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
67,0.10377965867519379,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
68,0.10376475006341934,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
69,0.10321706533432007,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
70,0.10352768003940582,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
71,0.10365427285432816,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
72,0.10388505458831787,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
73,0.10345088690519333,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
74,0.10344477742910385,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
75,0.10355021804571152,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
76,0.10334555059671402,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
77,0.10342162847518921,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
78,0.10347181558609009,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
79,0.10335413366556168,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
80,0.10332995653152466,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
81,0.10347353667020798,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
82,0.10348808020353317,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
83,0.1034320741891861,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
84,0.10357002913951874,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
85,0.10341495275497437,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
86,0.10327865183353424,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
87,0.10309617966413498,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
88,0.10328897088766098,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
89,0.10326045751571655,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
90,0.10352899879217148,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
91,0.10359114408493042,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
92,0.10325723141431808,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
93,0.10317041724920273,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
94,0.10320962965488434,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
95,0.1037047952413559,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
96,0.1034240797162056,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
97,0.10344061255455017,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
98,0.10332638025283813,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
99,0.10339352488517761,0.7822514774419834,0.35734543391945545,0.24319629415170815,0.6734366648850882
